Time (s),Temperature (C),Position (m)
11080,78.7,0.167
11090,78.7,0.165
11100,78.6,0.165
11110,78.7,0.164
11120,78.6,0.161
11130,78.7,0.164
11140,78.7,0.162
11150,78.7,0.165
11160,78.7,0.166
11170,78.7,0.163
11180,78.7,0.169
11190,78.7,0.167
11200,78.7,0.163
11210,78.7,0.168
11220,78.7,0.167
11230,78.7,0.17
11240,78.6,0.164
11250,78.5,0.164
11260,78.6,0.164
11270,78.5,0.165
11280,78.5,0.166
11290,78.5,0.165
11300,78.5,0.164
11310,78.5,0.163
11320,78.5,0.167
11330,78.5,0.171
11340,78.5,0.162
11350,78.5,0.165
11360,78.5,0.165
11370,78.5,0.168
11380,78.5,0.169
11390,78.5,0.166
11400,78.5,0.165
11410,78.5,0.167
11420,78.5,0.164
11430,78.4,0.167
11440,78.3,0.166
11450,78.3,0.167
11460,78.3,0.169
11470,78.3,0.163
11480,78.3,0.166
11490,78.3,0.165
11500,78.3,0.164
11510,78.3,0.162
11520,78.4,0.164
11530,78.4,0.166
11540,78.5,0.165
11550,78.5,0.169
11560,78.5,0.165
11570,78.5,0.17
11580,78.5,0.166
11590,78.5,0.165
11600,78.5,0.166
11610,78.6,0.165
11620,78.5,0.172
11630,78.5,0.165
11640,78.5,0.166
11650,78.5,0.168
11660,78.3,0.165
11670,78.4,0.163
11680,78.5,0.166
11690,78.5,0.164
11700,78.5,0.169
11710,78.6,0.162
11720,78.6,0.163
11730,78.6,0.166
11740,78.8,0.169
11750,78.7,0.165
11760,78.7,0.167
11770,78.7,0.169
11780,78.8,0.165
11790,78.8,0.168
11800,78.8,0.163
11810,78.7,0.164
11820,78.8,0.164
11830,78.7,0.165
11840,78.6,0.169
11850,78.6,0.168
11860,78.6,0.165
11870,78.7,0.165
11880,78.7,0.169
11890,78.7,0.168
11900,78.8,0.169
11910,78.8,0.165
11920,78.9,0.165
11930,78.9,0.166
11940,79,0.166
11950,79,0.163
11960,79,0.167
11970,78.9,0.166
11980,79,0.165
11990,78.9,0.165
12000,78.9,0.17
12010,78.8,0.166
12020,78.9,0.166
12030,78.8,0.165
12040,79,0.163
12050,78.8,0.162
12060,78.9,0.163
12070,78.8,0.166
12080,78.9,0.168
12090,79,0.162
12100,79,0.165
12110,79,0.165
12120,79,0.167
12130,79,0.167
12140,79,0.171
12150,79,0.171
12160,79,0.167
12170,79,0.17
12180,79,0.166
12190,79,0.169
12200,78.9,0.171
12210,78.9,0.167
12220,78.9,0.175
12230,78.7,0.167
12240,78.8,0.168
12250,78.7,0.173
12260,78.7,0.164
12270,78.7,0.168
12280,78.8,0.168
12290,78.8,0.168
12300,78.8,0.168
12310,78.8,0.167
12320,78.8,0.166
12330,78.8,0.172
12340,78.8,0.168
12350,78.8,0.168
12360,78.8,0.168
12370,78.8,0.17
12380,78.8,0.167
12390,78.7,0.184
12400,78.6,0.173
12410,78.6,0.152
12420,78.6,0.169
12430,78.5,0.176
12440,78.5,0.169
12450,78.5,0.17
12460,78.5,0.167
12470,78.5,0.168
12480,78.6,0.17
12490,78.6,0.17
12500,78.6,0.167
12510,78.6,0.169
12520,78.7,0.169
12530,78.6,0.168
12540,78.6,0.173
12550,78.6,0.168
12560,78.5,0.168
12570,78.5,0.17
12580,78.5,0.171
12590,78.5,0.172
12600,78.3,0.174
12610,78.4,0.169
12620,78.4,0.17
